Frame,Tipo_objeto,Confianza,ID_Tracking,x1,y1,x2,y2,Matrícula,Confianza_Matrícula,mx1,my1,mx2,my2,Texto_Matrícula
728,car,0.79,13,1057,307,1166,392,Y0,0.10,31,53,64,61,Y0
730,car,0.81,13,1052,305,1167,394,076,0.08,31,55,66,64,076
731,car,0.74,13,1049,305,1166,395,XEIII,0.07,32,56,67,64,XEIII
732,car,0.78,13,1045,305,1165,395,Y,0.04,33,56,68,65,Y
734,car,0.67,13,1039,306,1163,397,UD,0.02,35,57,70,66,UD
735,car,0.66,13,1036,307,1161,398,42Y,0.11,36,56,72,66,42Y
736,car,0.69,13,1033,307,1159,399,47,0.44,36,56,73,66,47
737,car,0.76,13,1031,309,1157,400,M00,0.11,35,55,73,65,M00
738,car,0.75,13,1027,308,1157,402,DMT,0.04,37,57,74,67,DMT
739,car,0.71,13,1025,307,1156,404,4L,0.17,35,59,73,70,4L
740,car,0.80,13,1023,307,1156,405,I7DT4,0.06,35,60,73,69,I7DT4
741,car,0.82,13,1020,306,1155,405,4DQZ,0.15,36,62,73,72,4DQZ
742,car,0.84,13,1017,306,1153,407,44AT7,0.06,34,62,74,72,44AT7
743,car,0.83,13,1013,306,1150,407,4XT,0.16,36,63,75,74,4XT
744,car,0.78,13,1008,306,1148,409,W44E,0.15,38,63,77,74,W44E
745,car,0.86,13,1004,305,1146,410,DE,0.95,39,65,78,76,DE
746,car,0.84,13,999,305,1144,411,TNI,0.18,40,66,79,76,TNI
747,car,0.85,13,994,304,1142,413,DT,0.18,41,67,82,78,DT
748,car,0.81,13,991,303,1140,414,DYUMC,0.15,41,69,85,80,DYUMC
749,car,0.82,13,987,303,1139,415,WPJT,0.10,44,70,83,81,WPJT
750,car,0.87,13,983,302,1135,416,LFTTQ,0.09,42,72,84,82,LFTTQ
751,car,0.83,13,980,301,1133,418,QO,0.04,41,73,84,84,QO
752,car,0.87,13,975,298,1133,419,VDS,0.18,41,77,85,88,VDS
753,car,0.86,13,970,298,1132,421,QZJ,0.54,42,77,87,89,QZJ
754,car,0.91,13,965,299,1135,423,I,0.05,41,76,89,90,I
755,car,0.88,13,959,300,1136,425,HYELJ,0.07,43,77,90,89,HYELJ
756,car,0.84,13,954,299,1134,426,TLD,0.36,43,79,91,91,TLD
757,car,0.84,13,947,298,1130,428,,0.10,46,80,95,94,
