iter	Passed	Remaining
1072	12861	11111
1073	12877	11102
1074	12886	11088
1075	12900	11078
1076	12920	11073
1077	12928	11057
1078	12940	11045
1079	12949	11030
1080	12966	11023
1081	12977	11010
1082	12990	10999
1083	13000	10985
1084	13011	10972
1085	13024	10962
1086	13060	10969
1087	13071	10957
1088	13112	10968
1089	13128	10960
1090	13141	10949
1091	13153	10937
1092	13163	10923
1093	13174	10910
1094	13182	10895
1095	13204	10891
1096	13216	10879
1097	13239	10876
1098	13256	10868
1099	13267	10855
1100	13277	10841
1101	13307	10844
1102	13336	10845
1103	13347	10832
1104	13365	10825
1105	13378	10814
1106	13389	10801
1107	13399	10787
1108	13418	10780
1109	13435	10772
1110	13446	10759
1111	13459	10748
1112	13484	10746
1113	13498	10735
1114	13509	10723
1115	13520	10710
1116	13535	10700
1117	13547	10688
1118	13558	10674
1119	13567	10659
1120	13603	10666
1121	13611	10651
1122	13622	10638
1123	13633	10625
1124	13679	10639
1125	13687	10624
1126	13701	10613
1127	13725	10610
1128	13761	10616
1129	13785	10613
1130	13794	10598
1131	13803	10584
1132	13812	10569
1133	13819	10553
1134	13843	10550
1135	13852	10535
1136	13864	10523
1137	13873	10509
1138	13884	10495
1139	13897	10484
1140	13906	10469
1141	13916	10455
1142	13932	10446
1143	13949	10437
1144	13958	10423
1145	13970	10410
1146	13982	10398
1147	13996	10387
1148	14021	10385
1149	14032	10371
1150	14043	10358
1151	14051	10343
1152	14064	10331
1153	14075	10318
1154	14090	10308
1155	14101	10295
1156	14108	10279
1157	14123	10269
1158	14141	10261
1159	14158	10252
1160	14166	10237
1161	14175	10222
1162	14182	10206
1163	14190	10191
1164	14197	10176
1165	14244	10188
1166	14261	10179
1167	14289	10178
1168	14304	10168
1169	14329	10165
1170	14340	10152
1171	14357	10143
1172	14367	10129
1173	14404	10134
1174	14412	10119
1175	14423	10106
1176	14433	10092
1177	14443	10078
1178	14452	10064
1179	14472	10057
1180	14481	10042
1181	14504	10038
1182	14534	10037
1183	14562	10036
1184	14587	10032
1185	14604	10023
1186	14623	10015
1187	14635	10003
1188	14696	10024
1189	14703	10008
1190	14712	9993
1191	14720	9978
1192	14730	9964
1193	14739	9949
1194	14747	9934
1195	14758	9921
1196	14770	9909
1197	14780	9894
1198	14789	9880
1199	14800	9867
1200	14814	9855
1201	14832	9846
1202	14848	9837
1203	14887	9842
1204	14896	9827
1205	14943	9838
1206	14959	9828
1207	14977	9819
1208	15017	9825
1209	15029	9812
1210	15039	9798
1211	15052	9786
1212	15064	9773
1213	15078	9762
1214	15093	9751
1215	15104	9738
1216	15129	9734
1217	15154	9729
1218	15164	9715
1219	15201	9718
1220	15239	9722
1221	15251	9710
1222	15260	9695
1223	15286	9691
1224	15324	9694
1225	15339	9684
1226	15349	9670
1227	15357	9654
1228	15367	9640
1229	15380	9628
1230	15393	9616
1231	15403	9602
1232	15440	9605
1233	15452	9592
1234	15468	9581
1235	15482	9570
1236	15497	9558
1237	15510	9546
1238	15522	9534
1239	15535	9521
1240	15559	9516
1241	15571	9503
1242	15584	9491
1243	15613	9488
1244	15623	9474
1245	15633	9460
1246	15658	9455
1247	15669	9441
1248	15675	9425
1249	15682	9409
1250	15692	9395
1251	15729	9397
1252	15742	9385
1253	15751	9370
1254	15761	9356
1255	15780	9347
1256	15795	9336
1257	15806	9322
1258	15817	9309
1259	15828	9296
1260	15837	9281
1261	15849	9268
1262	15861	9255
1263	15870	9241
1264	15883	9228
1265	15893	9214
1266	15928	9215
1267	15936	9200
1268	15946	9186
1269	15963	9175
1270	15973	9161
1271	15980	9146
1272	15988	9130
1273	15998	9116
1274	16005	9101
1275	16019	9089
1276	16031	9076
1277	16050	9067
1278	16063	9055
1279	16073	9041
1280	16112	9043
1281	16133	9035
1282	16158	9030
1283	16173	9018
1284	16183	9004
1285	16191	8989
1286	16213	8982
1287	16265	8991
1288	16272	8975
1289	16281	8961
1290	16290	8946
1291	16300	8932
1292	16313	8919
1293	16349	8920
1294	16360	8906
1295	16371	8893
1296	16382	8879
1297	16393	8865
1298	16404	8852
